,Collision,Displacement,Deviation,Velocity,Angle,Energy,Steer,ADE,FDE,SSIM
503,0.001,0.0467,0.834,0.0405,0.0423,5.849,6.6581,1.4025,2.2253,0.9563
506,0.001,0.044,0.7474,0.0499,0.0546,5.4996,6.3792,1.2958,2.0637,0.9575
514,0.0,0.0415,0.7676,0.0468,0.0416,5.2904,5.6659,1.2729,1.9436,0.9553
525,0.0,0.0376,0.863,0.0301,0.1868,4.878,6.0433,1.2418,1.8881,0.9399
546,0.0,0.0358,0.8278,0.0535,0.047,4.3277,5.6759,1.0959,1.8512,0.9391
565,0.0013,0.0394,0.6822,0.0397,0.0234,5.1331,7.6889,1.2544,1.7324,0.9386
582,0.0,0.041,0.5308,0.1187,0.1415,5.0381,7.4466,0.9966,1.2357,0.9385
588,0.0,0.0409,0.5311,0.1074,0.2541,4.7654,7.0337,0.9841,1.1829,0.9557
602,0.0,0.039,0.5457,0.1353,0.0661,4.3504,6.8225,0.9723,1.1243,0.9544
604,0.0,0.035,0.6006,0.0159,0.1222,4.167,7.0512,1.0808,1.2241,0.9515
605,0.0,0.0338,0.5535,0.0225,0.1247,4.2969,6.8905,1.0282,1.1901,0.959
628,0.0,0.0359,0.2826,0.1283,0.0851,3.9773,6.3333,0.7422,0.5831,0.9335
639,0.0013,0.0347,0.2756,0.0936,0.2046,4.0627,6.8432,0.8132,0.7764,0.9656
640,0.0013,0.0355,0.296,0.0925,0.2264,4.1591,7.0726,0.8459,0.871,0.965
642,0.0013,0.0391,0.4153,0.1003,0.1439,4.6207,7.892,0.8868,1.1884,0.961
647,0.0015,0.0342,0.3105,0.0956,0.1151,3.9403,6.274,0.7044,0.7982,0.96
676,0.0021,0.0287,0.2515,0.1057,0.2405,3.0646,4.841,0.4296,0.645,0.965
701,0.0034,0.0264,0.3863,0.1377,0.2804,3.3377,4.4616,0.4882,0.9086,0.9668
702,0.0035,0.0267,0.3995,0.1253,0.2769,3.2846,4.294,0.4848,0.9026,0.9654
706,0.0038,0.0251,0.3594,0.1068,0.0579,3.202,4.2173,0.4662,0.8642,0.9729
718,0.0048,0.0234,0.3607,0.0387,0.1037,3.2135,4.1946,0.4056,0.7294,0.9779
722,0.0055,0.0236,0.339,0.0611,0.1195,3.2698,4.3343,0.3881,0.6809,0.9763
735,0.0111,0.0239,0.1932,0.1341,0.0612,3.1712,3.8954,0.2333,0.5157,0.9779
736,0.0119,0.0257,0.19,0.1541,0.0667,3.3828,4.263,0.2212,0.5032,0.9784
743,0.0357,0.0554,0.1848,0.1632,0.2125,6.9696,9.8118,0.2323,0.4338,0.9739
