,Collision,Displacement,Deviation,Velocity,Angle,Energy,Steer,ADE,FDE,SSIM
479,0.003,0.0278,0.7766,0.0438,0.1473,3.7834,3.9137,1.3643,2.0037,0.952
497,0.003,0.0281,0.8328,0.052,0.1362,3.9094,4.5045,1.5019,1.8666,0.9405
503,0.002,0.028,0.8714,0.0569,0.1384,4.1026,4.5967,1.6273,2.2066,0.9544
506,0.002,0.0267,0.8142,0.0613,0.1473,3.9097,4.4626,1.4704,2.061,0.9535
514,0.0,0.0282,0.6464,0.0579,0.1396,4.1378,4.412,1.3089,1.5961,0.9489
525,0.0,0.0315,0.7829,0.0634,0.2092,4.3143,5.6609,1.5225,1.9274,0.9476
546,0.0,0.0319,0.6343,0.085,0.1448,3.8878,4.7266,0.9238,1.1501,0.9567
565,0.004,0.024,0.6165,0.041,0.0503,3.3472,4.4602,1.0204,1.164,0.953
582,0.0,0.03,0.6116,0.1024,0.1722,3.9066,5.7808,0.9899,1.3093,0.9332
588,0.0,0.033,0.4447,0.1255,0.324,4.1872,6.0221,0.8466,1.0923,0.9427
602,0.0,0.0247,0.443,0.1387,0.1276,2.7536,3.9732,0.7735,0.8207,0.9604
604,0.0,0.0192,0.5804,0.0494,0.2202,2.5276,4.1359,0.9012,1.0928,0.956
605,0.0,0.0181,0.5331,0.037,0.1749,2.6358,4.1388,0.9209,0.9714,0.9636
628,0.0,0.0232,0.3384,0.1206,0.1288,2.666,4.4694,0.7542,1.0056,0.9492
639,0.0013,0.0265,0.7659,0.1497,0.3967,3.3062,5.9139,1.6185,2.4278,0.9715
640,0.0013,0.0255,0.9457,0.1698,0.3938,3.2381,5.5752,1.5833,2.4577,0.9775
642,0.0106,0.0267,1.1486,0.1753,0.3981,3.3886,6.2291,1.8271,3.1658,0.9713
647,0.003,0.0234,0.7442,0.0681,0.1494,3.3459,5.0719,1.5649,2.3151,0.9583
676,0.0021,0.0221,0.7931,0.1398,0.4186,2.6582,3.8527,1.1047,1.7557,0.9757
701,0.0272,0.0268,0.5796,0.1293,0.4276,3.3452,5.6546,0.9499,1.4604,0.9717
702,0.0208,0.0308,0.6618,0.1392,0.4172,3.8001,6.5863,0.9669,1.746,0.9711
706,0.0114,0.0212,0.4773,0.1633,0.2735,2.664,4.7165,0.8832,1.3035,0.9766
718,0.0048,0.0264,0.5478,0.0507,0.2308,3.5265,5.4285,0.8854,1.2767,0.9797
722,0.0055,0.0206,0.4428,0.0997,0.3597,2.9458,5.0649,0.7039,1.0562,0.9885
735,0.0222,0.0313,0.2596,0.1092,0.3927,3.8925,5.6639,0.4281,0.689,0.9789
736,0.0238,0.0278,0.2247,0.1172,0.4103,3.5034,5.3981,0.3697,0.6091,0.9788
743,0.0357,0.0231,0.1251,0.0785,0.2268,3.611,6.7382,0.1474,0.3475,0.9731
